epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.892,0.73697,0.81087,1.04632,0,0,0,0,0,0,0,0.0166563,0.0166563,0.0833438
2,359.319,0.69149,0.48219,1.00707,0,0,0,0,0,0,0,0.0320566,0.0320566,0.0654108
3,547.446,0.67085,0.4478,1.00693,0,0,0,0,0,0,0,0.0461904,0.0461904,0.0462112
4,734.22,0.65522,0.42585,1.02564,0,0,0,0,0,0,0,0.0443,0.0443,0.0443
5,915.88,0.62346,0.38053,1.01208,0,0,0,0,0,0,0,0.0424,0.0424,0.0424
6,1101.92,0.60566,0.3663,0.99987,0,0,0,0,0,0,0,0.0405,0.0405,0.0405
7,1285.25,0.59706,0.35536,0.99547,0,0,0,0,0,0,0,0.0386,0.0386,0.0386
8,1470.21,0.58923,0.34705,0.9905,0,0,0,0,0,0,0,0.0367,0.0367,0.0367
9,1654.83,0.58088,0.33895,0.98531,0,0,0,0,0,0,0,0.0348,0.0348,0.0348
10,1840.72,0.57406,0.33156,0.98259,0,0,0,0,0,0,0,0.0329,0.0329,0.0329
11,2025.35,0.56567,0.321,0.97688,0,0,0,0,0,0,0,0.031,0.031,0.031
12,2206.17,0.55969,0.31723,0.97409,0,0,0,0,0,0,0,0.0291,0.0291,0.0291
13,2387.96,0.55369,0.30995,0.97024,0,0,0,0,0,0,0,0.0272,0.0272,0.0272
14,2591.14,0.54759,0.30506,0.96693,0,0,0,0,0,0,0,0.0253,0.0253,0.0253
15,2782.49,0.5403,0.29887,0.96461,0,0,0,0,0,0,0,0.0234,0.0234,0.0234
16,3060.14,0.53276,0.29128,0.9599,0,0,0,0,0,0,0,0.0215,0.0215,0.0215
17,3245.56,0.52576,0.28298,0.95626,0,0,0,0,0,0,0,0.0196,0.0196,0.0196
18,3432.91,0.51854,0.27734,0.95243,0,0,0,0,0,0,0,0.0177,0.0177,0.0177
19,3620.03,0.50731,0.26689,0.94691,0,0,0,0,0,0,0,0.0158,0.0158,0.0158
20,3805.37,0.49665,0.2583,0.94182,0,0,0,0,0,0,0,0.0139,0.0139,0.0139
21,3992.78,0.48892,0.2518,0.93796,0,0,0,0,0,0,0,0.012,0.012,0.012
22,4178.4,0.47834,0.24276,0.93232,0,0,0,0,0,0,0,0.0101,0.0101,0.0101
23,4364.8,0.4686,0.23409,0.92657,0,0,0,0,0,0,0,0.0082,0.0082,0.0082
24,4551.09,0.4556,0.22245,0.92043,0,0,0,0,0,0,0,0.0063,0.0063,0.0063
25,4823.1,0.44115,0.21127,0.91336,0.99566,0.98787,0.99484,0.90677,0.47493,0.20305,0.91188,0.0044,0.0044,0.0044
